epoch,Loss ( Val ),Loss ( Train ),Accuracy ( Val ),Accuracy ( Train ),ROC ( Val ),ROC ( Train )
5,1.008434772491455,0.7446277141571045,0.8214285714285714,0.727522306108442,0.8322844316381819,0.8207059991264931
10,0.2786250710487366,0.45150822401046753,0.9175824175824175,0.8524365133836651,0.9292588132162639,0.9108019071357372
15,1.3442867994308472,0.33616045117378235,0.75,0.9025394646533974,0.8600034818665259,0.9375971489304864
20,0.4479163885116577,0.25520530343055725,0.9175824175824175,0.91283459162663,0.94252564077686,0.9618517443153494
25,0.8074634075164795,0.1659342646598816,0.8653846153846154,0.942347288949897,0.9328065302590288,0.982567177627893
30,0.5958905220031738,0.13516876101493835,0.8818681318681318,0.9560741249142073,0.9406924598845032,0.9891895600182463
