epoch,Loss ( Val ),Loss ( Train ),Accuracy ( Val ),Accuracy ( Train ),Kaggle Metric ( Val ),Kaggle Metric ( Train )
2,0.12276478856801987,0.025296920910477638,0.9697802197802198,0.9938229238160604,0.9972229149933158,0.998286774857964
4,0.10995684564113617,0.02282121777534485,0.9725274725274725,0.9917638984214139,0.9977737824844772,0.9996412563002433
6,0.2089160829782486,0.06877334415912628,0.9697802197802198,0.9883321894303363,0.997774443111509,0.9985578138749721
8,0.14143095910549164,0.08184423297643661,0.9752747252747253,0.9883321894303363,0.9983033452534579,0.9967185689657857
10,0.14389927685260773,0.07141295820474625,0.9725274725274725,0.9855868222374743,0.9983023471615267,0.9969246089012801
12,0.17937329411506653,0.025407884269952774,0.9697802197802198,0.9938229238160604,0.9976466755073358,0.9997485229617007
14,0.14285984635353088,0.018778234720230103,0.9725274725274725,0.9945092656142759,0.9977788559363976,0.9998473487402108
16,0.13047438859939575,0.01650019735097885,0.9697802197802198,0.9958819492107069,0.9983891385722615,0.999914426261366
18,0.12892292439937592,0.010067587718367577,0.9697802197802198,0.9965682910089224,0.9984054028703966,0.999925159634558
20,0.12196478992700577,0.024913763627409935,0.9697802197802198,0.9938229238160604,0.9984193522064082,0.9996588477750108
