epoch,Loss ( Val ),Loss ( Train ),Accuracy ( Val ),Accuracy ( Train ),Kaggle Metric ( Val ),Kaggle Metric ( Train )
2,0.362885057926178,0.5791895985603333,0.9068493150684932,0.8138736263736264,0.941117068435618,0.8888118457935033
4,0.6527430415153503,0.5577686429023743,0.7643835616438356,0.8358516483516484,0.884973454009194,0.8851076842441621
6,0.24079911410808563,0.5493058562278748,0.9287671232876712,0.8125,0.960666081396688,0.8967423967253816
8,0.4678551256656647,0.3507721722126007,0.8821917808219178,0.8866758241758241,0.8953434659166825,0.9327145468830331
10,0.32870399951934814,0.32034748792648315,0.8986301369863013,0.8990384615384616,0.9408268692243548,0.9479147348631539
12,0.438351571559906,0.2877386212348938,0.8794520547945206,0.9175824175824175,0.9279764280134842,0.9398680339804087
14,0.34672361612319946,0.2851530611515045,0.9095890410958904,0.9127747252747253,0.9395363809693655,0.9457018330353769
16,0.3408660590648651,0.24841155111789703,0.9123287671232877,0.9182692307692307,0.9357238603944616,0.9584832568832732
18,0.6117592453956604,0.18875321745872498,0.8684931506849315,0.9340659340659341,0.9101734391918146,0.9769738646139268
20,0.3527205288410187,0.15098115801811218,0.9123287671232877,0.9526098901098901,0.9371677512623428,0.9818838742960602
22,0.3263629376888275,0.18129223585128784,0.9287671232876712,0.9429945054945055,0.939885734670884,0.9765033813341351
24,0.3461915850639343,0.11534009873867035,0.9260273972602739,0.9642857142857143,0.9339700291367095,0.9888578007388961
26,0.3264369070529938,0.11348527669906616,0.9287671232876712,0.9635989010989011,0.950556628609224,0.9901589477484929
28,0.5356566309928894,0.1021200567483902,0.8493150684931506,0.9677197802197802,0.9368518122270981,0.9916558117136113
30,0.31946027278900146,0.08148282021284103,0.9397260273972603,0.9725274725274725,0.952169777491539,0.9966750070849754
32,0.3286096155643463,0.06162257120013237,0.9424657534246575,0.9821428571428571,0.9608350346479106,0.9983993788736418
34,0.30500826239585876,0.0621977336704731,0.936986301369863,0.9800824175824175,0.9750760380494781,0.998320555770124
36,0.34303033351898193,0.02714436687529087,0.9342465753424658,0.992445054945055,0.9552639853918918,0.998295772637874
38,0.32934635877609253,0.035065215080976486,0.936986301369863,0.9903846153846154,0.9712330026880174,0.9984510999269606
40,0.41378656029701233,0.03660469874739647,0.9315068493150684,0.992445054945055,0.9532857108932834,0.9989693846254689
42,0.3447296917438507,0.009330096654593945,0.9342465753424658,0.9986263736263736,0.9619120528684175,0.9999808641311453
44,0.31166571378707886,0.02211635187268257,0.9397260273972603,0.9958791208791209,0.9698113480684559,0.9992618660441307
46,0.3275524377822876,0.008932776749134064,0.936986301369863,0.9979395604395604,0.9666623505662388,0.9999750911074975
48,0.3307598829269409,0.010893326252698898,0.936986301369863,0.9965659340659341,0.967381820106737,0.9999686708168989
50,0.33394721150398254,0.013963181525468826,0.936986301369863,0.9951923076923077,0.9669295998731128,0.9998306346560549
