epoch,Loss ( Val ),Loss ( Train ),Accuracy ( Val ),Accuracy ( Train ),Kaggle Metric ( Val ),Kaggle Metric ( Train )
2,1.1423499584197998,0.5506300926208496,0.7197802197802198,0.8229238160603981,0.8922511304322825,0.8939061276521048
4,0.3064477741718292,0.5497108697891235,0.9010989010989011,0.8256691832532601,0.9597611870737013,0.8929950038989849
6,0.28654178977012634,0.4841172993183136,0.9010989010989011,0.8592999313658202,0.9649686082429381,0.8933721128160881
8,0.25942158699035645,0.3528956472873688,0.9148351648351648,0.8867536032944406,0.9723165646904345,0.9345346826546159
10,0.40710118412971497,0.3228932023048401,0.8681318681318682,0.8977350720658888,0.9381919986606775,0.9460518225733302
12,0.22509552538394928,0.3555983901023865,0.9340659340659341,0.8949897048730268,0.9487955996597499,0.9369193977459281
14,0.27545854449272156,0.2923901677131653,0.9230769230769231,0.9155799588194921,0.9610604053225931,0.9525662925688602
16,0.3116867244243622,0.2330840826034546,0.9120879120879121,0.9217570350034318,0.9560046016994241,0.967378621823354
18,0.27171528339385986,0.19045154750347137,0.9340659340659341,0.940974605353466,0.9612996459198553,0.9768411929296249
20,0.34809133410453796,0.173149973154068,0.9093406593406593,0.9505833905284832,0.9447780482916184,0.9796155588577335
22,0.23337790369987488,0.10975086688995361,0.9478021978021978,0.9656829100892245,0.9678063209796058,0.9904749097877286
24,0.27685606479644775,0.12213343381881714,0.9313186813186813,0.9574468085106383,0.9650857596045972,0.9923229867383725
26,0.2613389492034912,0.11692438274621964,0.9313186813186813,0.9656829100892245,0.9693824652731795,0.9915635357966782
28,0.35553300380706787,0.07553660124540329,0.9285714285714286,0.9787234042553191,0.955761401666916,0.9953319595989776
30,0.41956827044487,0.03755289688706398,0.9340659340659341,0.9862731640356898,0.9612671609908602,0.9994649014140796
32,0.34797734022140503,0.0489482618868351,0.9395604395604396,0.9855868222374743,0.9577152433880209,0.9988274242174667
34,0.47110480070114136,0.031937375664711,0.9038461538461539,0.9910775566231984,0.9535765293832519,0.9988528954244142
36,0.46962255239486694,0.0341118760406971,0.9313186813186813,0.9876458476321208,0.9511861113675331,0.999506951822067
38,0.41620102524757385,0.03756910189986229,0.9368131868131868,0.9924502402196294,0.9553131219447867,0.9990126234104422
40,0.43894580006599426,0.01811876706779003,0.9340659340659341,0.9951956074124915,0.9526225020106635,0.9996267915320349
42,0.43359798192977905,0.013619541190564632,0.9395604395604396,0.9938229238160604,0.9564881920852217,0.9999273516744758
44,0.40473172068595886,0.011802979744970798,0.945054945054945,0.9951956074124915,0.958463385307341,0.9999154581283474
