epoch,Loss ( Val ),Loss ( Train ),Accuracy ( Val ),Accuracy ( Train ),ROC ( Val ),ROC ( Train )
0,-0.32733362913131714,-0.30997830629348755,0.3269230769230769,0.29718599862731643,0.6870579852453969,0.6154290797436403
2,-0.417134553194046,-0.3572194576263428,0.3489010989010989,0.3548387096774194,0.823137409596762,0.6069920873837014
4,-0.6971704959869385,-0.6387689709663391,0.8104395604395604,0.7185998627316403,0.8893038154640694,0.8252232942614001
6,-0.7436591982841492,-0.7280231714248657,0.8406593406593407,0.821551132463967,0.8985361315507052,0.8780231998228346
8,-0.7675451040267944,-0.762359619140625,0.8516483516483516,0.848318462594372,0.9027954248467813,0.888508666950675
10,-0.7827364802360535,-0.783280611038208,0.8598901098901099,0.8586135895676047,0.9058538733764138,0.8938431518065688
12,-0.7936871647834778,-0.7981363534927368,0.8653846153846154,0.8641043239533288,0.9079250781385066,0.8974697339099726
14,-0.8021871447563171,-0.8096256256103516,0.8763736263736264,0.8730267673301304,0.909541164065105,0.9000232124728021
16,-0.8091109395027161,-0.8190287351608276,0.8763736263736264,0.8771448181194235,0.9099877032350463,0.9021262336176287
18,-0.8149383664131165,-0.8270370364189148,0.8791208791208791,0.8846945778997941,0.9108216504658126,0.9037023242057032
20,-0.819955587387085,-0.8340556621551514,0.8791208791208791,0.8888126286890872,0.9117468835917986,0.9050543155641113
22,-0.824342668056488,-0.8403386473655701,0.8846153846153846,0.8936170212765957,0.9121289203268228,0.9062704511024311
24,-0.8282214403152466,-0.8460511565208435,0.8873626373626373,0.8963623884694578,0.9128105535947063,0.9074133982894947
26,-0.8316763639450073,-0.8513050675392151,0.8873626373626373,0.8997940974605353,0.913097479020022,0.9084933406508039
28,-0.8347704410552979,-0.8561778664588928,0.8873626373626373,0.9004804392587509,0.9133876435457936,0.9092949120603385
30,-0.8375520706176758,-0.8607243299484253,0.8873626373626373,0.9032258064516129,0.9133768421656654,0.9100273965540809
32,-0.8400589823722839,-0.8649842143058777,0.8901098901098901,0.905971173644475,0.9136962604648442,0.9106635129298809
34,-0.842322051525116,-0.8689864873886108,0.8901098901098901,0.9080301990391215,0.91381951164842,0.9113047602554292
36,-0.844365119934082,-0.8727527856826782,0.8873626373626373,0.911461908030199,0.9135171463684387,0.9118463024317868
38,-0.8462074398994446,-0.8763006925582886,0.8873626373626373,0.9162663006177076,0.9136351501551778,0.9122807962481129
40,-0.8478640913963318,-0.8796453475952148,0.8873626373626373,0.9169526424159231,0.913245899782242,0.912712836331283
42,-0.8493485450744629,-0.8828005790710449,0.8901098901098901,0.9190116678105696,0.9131547882079029,0.9131091747478761
44,-0.8506727814674377,-0.8857781291007996,0.8873626373626373,0.9203843514070007,0.9132622364392232,0.9134107154860658
46,-0.8518495559692383,-0.8885879516601562,0.8873626373626373,0.9231297185998627,0.9129533044129354,0.9136688882297097
48,-0.8528923392295837,-0.8912405371665955,0.8846153846153846,0.9245024021962938,0.9123057245702287,0.9139099482357305
