epoch,Loss ( Val ),Loss ( Train ),Accuracy ( Val ),Accuracy ( Train ),ROC ( Val ),ROC ( Train )
5,0.41853606700897217,0.5776681303977966,0.760989010989011,0.6382978723404256,0.7601399808530216,0.7127334288121239
10,0.2801429033279419,0.5285729765892029,0.8543956043956044,0.7172271791352093,0.8231419309246149,0.7501631746982637
15,0.22449085116386414,0.34028303623199463,0.8983516483516484,0.7680164722031572,0.8485352559844879,0.7811902310641514
20,0.18273049592971802,0.2372754067182541,0.9010989010989011,0.8462594371997255,0.8387268801624133,0.825100983733944
