epoch,Loss ( Val ),Loss ( Train ),Accuracy ( Val ),Accuracy ( Train ),ROC ( Val ),ROC ( Train )
2,1.7541704177856445,2.3827462196350098,0.9068493150684932,0.8605769230769231,0.9633904539769587,0.9357729801016691
4,1.7234842777252197,0.8870521783828735,0.8876712328767123,0.9320054945054945,0.9520743298960044,0.9852757184223679
6,1.4496057033538818,0.43857893347740173,0.9095890410958904,0.9574175824175825,0.9599500561998106,0.9923003922083881
8,1.1810681819915771,0.4930039346218109,0.8986301369863013,0.9539835164835165,0.957212195344221,0.9941141849811144
10,1.0613645315170288,0.2110462337732315,0.9260273972602739,0.9787087912087912,0.964255216445989,0.998033418914481
12,1.0984890460968018,0.22553479671478271,0.9342465753424658,0.9752747252747253,0.9568735896643901,0.9964695258512396
14,1.197819709777832,0.14904968440532684,0.9342465753424658,0.9828296703296703,0.9657737108876849,0.9989968123832145
16,1.4742685556411743,0.22811147570610046,0.8767123287671232,0.9821428571428571,0.9443195920150891,0.9983188219530621
18,1.2511857748031616,0.5805096626281738,0.9260273972602739,0.9505494505494505,0.9482340513530759,0.9933489920495567
20,1.3382128477096558,0.1735709011554718,0.9232876712328767,0.9828296703296703,0.9370570582139498,0.9988029402853819
22,1.4506162405014038,0.3398750126361847,0.9068493150684932,0.9718406593406593,0.966596531915435,0.9968118180125158
24,1.123694896697998,0.20708461105823517,0.9397260273972603,0.978021978021978,0.9588665806429375,0.9987913183592549
26,1.8048099279403687,0.1328049749135971,0.9232876712328767,0.9896978021978022,0.9230755843796266,0.9992073939182511
28,2.1600444316864014,0.11490626633167267,0.9068493150684932,0.9910714285714286,0.9551267602596841,0.9992744519332807
30,1.732071876525879,0.4783684015274048,0.8876712328767123,0.9587912087912088,0.9442130529577288,0.9932565763344271
32,1.641606092453003,0.17391029000282288,0.9013698630136986,0.9814560439560439,0.952075087311335,0.9992283536142964
34,1.258926510810852,0.0812433660030365,0.9342465753424658,0.9931318681318682,0.9508122148292422,0.9975247878829807
36,1.696020483970642,0.12349236756563187,0.9260273972602739,0.989010989010989,0.9537593233581628,0.9990746061948927
38,3.8013899326324463,0.18573281168937683,0.852054794520548,0.9855769230769231,0.91763524786591,0.9993218082278434
40,1.5980266332626343,0.11706385761499405,0.9260273972602739,0.9862637362637363,0.9609447892676335,0.9995195038342141
42,1.9048606157302856,0.09282701462507248,0.9232876712328767,0.989010989010989,0.9569530182703271,0.9997969893157762
44,2.4260518550872803,0.17119120061397552,0.8767123287671232,0.9848901098901099,0.9299134177631627,0.998239257456684
46,1.34432852268219,0.22943779826164246,0.9232876712328767,0.9828296703296703,0.9540125113940708,0.9980860980796918
48,1.3976725339889526,0.26471439003944397,0.8958904109589041,0.9787087912087912,0.9437383090295789,0.9975909513739355
50,1.5142755508422852,0.19462238252162933,0.9095890410958904,0.9862637362637363,0.922720623339565,0.9977300888197869
