epoch,Loss ( Val ),Loss ( Train ),Accuracy ( Val ),Accuracy ( Train ),ROC ( Val ),ROC ( Train )
0,0.32827699184417725,0.7271324396133423,0.7802197802197802,0.5037748798901853,0.8181204097999146,0.6597916801832967
5,0.3297847509384155,0.6934096217155457,0.7857142857142857,0.5360329444063143,0.8268280013618897,0.6793316733681772
10,0.2873435318470001,0.6739362478256226,0.8159340659340659,0.5202470830473576,0.8366656779575975,0.6739314410728116
15,0.3325818181037903,0.6367724537849426,0.7967032967032966,0.5518188057652711,0.8128553122706792,0.6872916384105276
20,0.28102079033851624,0.6114760637283325,0.8021978021978022,0.547700754975978,0.8482797810199166,0.6837730303822993
25,0.2800306975841522,0.6453878283500671,0.8076923076923077,0.5483870967741935,0.8385342143473318,0.6964033620268347
30,0.29037848114967346,0.5773940682411194,0.7857142857142857,0.5511324639670556,0.8275530761598877,0.6960515174684694
