epoch,Loss ( Val ),Loss ( Train ),Accuracy ( Val ),Accuracy ( Train ),ROC ( Val ),ROC ( Train )
2,1.1219009160995483,2.8434717655181885,0.9010989010989011,0.7707618393960192,0.936624762256229,0.8444162811406766
4,2.827336311340332,2.0687625408172607,0.75,0.8119423472889499,0.9414181640363938,0.8690189144204559
6,1.4364513158798218,1.9438661336898804,0.8406593406593407,0.8270418668496912,0.9294411314378539,0.8657343640616679
8,0.9536401033401489,1.3581364154815674,0.9010989010989011,0.8757721345229924,0.954939866580575,0.8833355257382492
10,0.6408435106277466,1.0612372159957886,0.9340659340659341,0.8997940974605353,0.9642969074527873,0.8991027841553312
12,0.9051904082298279,1.5010689496994019,0.9148351648351648,0.8743994509265615,0.9003841105228474,0.883443215355428
14,0.659697413444519,0.8519218564033508,0.9423076923076923,0.9135209334248455,0.9610639417833493,0.9207827739952055
16,0.5927315354347229,0.8156725168228149,0.945054945054945,0.9238160603980783,0.9286604407958671,0.9188198532979468
18,0.6324576735496521,0.83180832862854,0.945054945054945,0.9190116678105696,0.9323666599473301,0.935704246339729
20,1.230735182762146,0.68246990442276,0.9065934065934066,0.9341111873713109,0.9351012806162958,0.9310894315524881
22,0.884067177772522,0.6170376539230347,0.9313186813186813,0.942347288949897,0.9516728073994842,0.9617326180581744
24,0.6420697569847107,0.55495285987854,0.9368131868131868,0.9375428963623885,0.9570616804948034,0.9595148132860276
26,0.603941023349762,0.5389478206634521,0.9505494505494505,0.9492107069320521,0.9649185282357964,0.9702298040650906
28,0.7419402599334717,0.41272518038749695,0.9478021978021978,0.9629375428963624,0.968872216030744,0.9763768950564111
30,0.7415620684623718,0.27399784326553345,0.945054945054945,0.9718599862731641,0.9578751583421806,0.9858501727411737
32,0.7175440788269043,0.3597944974899292,0.9395604395604396,0.9649965682910089,0.9721561857188337,0.9883935169558683
34,1.0966193675994873,0.15959949791431427,0.9258241758241759,0.9855868222374743,0.9732447572318447,0.9955356499610193
36,0.6623562574386597,0.19774821400642395,0.9423076923076923,0.9800960878517502,0.9706779895715967,0.9935575868462634
38,0.8148150444030762,0.13743790984153748,0.9423076923076923,0.9903912148249828,0.9607894695393836,0.9983223600248465
40,0.7077860832214355,0.07615428417921066,0.9505494505494505,0.9931365820178449,0.9657160338051594,0.9991745127817659
42,0.7672626972198486,0.025220170617103577,0.9505494505494505,0.9965682910089224,0.9652089008314321,0.9997227035308175
44,0.7390543222427368,0.06117905676364899,0.9560439560439561,0.9938229238160604,0.9627183345711899,0.9996064605784067
46,0.7252883315086365,0.01957567408680916,0.9560439560439561,0.9979409746053535,0.9635697573683076,0.9998477250075775
48,0.7438072562217712,0.03384734317660332,0.9505494505494505,0.997254632807138,0.9653079761245954,0.998186321177498
50,0.7426714301109314,0.028086472302675247,0.9505494505494505,0.9979409746053535,0.9651070953168813,0.9998770825052677
