epoch,Loss ( Val ),Loss ( Train ),Accuracy ( Val ),Accuracy ( Train ),ROC ( Val ),ROC ( Train )
0,0.7150323390960693,1.0343818664550781,0.7032967032967034,0.3891557995881949,0.7490523788942494,0.5649488382757172
5,0.3376227617263794,0.4130282700061798,0.8818681318681318,0.7206588881262869,0.8317746195682916,0.7427779322859733
10,0.1707231104373932,0.32863086462020874,0.9120879120879121,0.7995881949210707,0.8495438233580328,0.78600916192579
15,0.2579151690006256,0.38571640849113464,0.7417582417582418,0.7947838023335622,0.7581514148574158,0.7873874605319844
20,0.22248713672161102,0.19324243068695068,0.9065934065934066,0.8689087165408373,0.8404681749908144,0.8236526062440421
25,0.26334768533706665,0.22952401638031006,0.9148351648351648,0.8586135895676047,0.851039578942997,0.817811365577311
