epoch,Loss ( Val ),Loss ( Train ),Accuracy ( Val ),Accuracy ( Train ),Kaggle Metric ( Val ),Kaggle Metric ( Train )
1,1.0957139730453491,1.2683231830596924,0.6931506849315069,0.47184065934065933,0.8368931736198102,0.628810962374857
2,0.5614388585090637,0.8516401648521423,0.8383561643835616,0.7445054945054945,0.9145507782220094,0.8256961590807627
3,0.4633609652519226,0.5955509543418884,0.8575342465753425,0.7884615384615384,0.9446449440627823,0.9033037138625457
4,0.4695447087287903,0.5542715787887573,0.8328767123287671,0.7884615384615384,0.9359819646467249,0.9194007082254921
