epoch,Loss ( Val ),Loss ( Train ),Accuracy ( Val ),Accuracy ( Train ),ROC ( Val ),ROC ( Train )
5,0.25130710005760193,0.24562661349773407,0.8956043956043956,0.8421413864104323,0.8343923125875703,0.8231900369027024
10,0.1885138750076294,0.18485097587108612,0.9230769230769231,0.8771448181194235,0.8496054694259977,0.8442535364116843
15,0.16776339709758759,0.1135367825627327,0.9148351648351648,0.91283459162663,0.8581842117137031,0.8674885477061095
20,0.19583499431610107,0.1361083984375,0.9285714285714286,0.8991077556623198,0.8646536805083178,0.8652956496874447
