epoch,Loss ( Val ),Loss ( Train ),Accuracy ( Val ),Accuracy ( Train ),ROC ( Val ),ROC ( Train )
1,0.29534149169921875,0.349467396736145,0.9230769230769231,0.8908716540837337,0.9215679874323925,0.9384181524907815
2,0.29534149169921875,0.3096492886543274,0.9230769230769231,0.9004804392587509,0.9215679874323925,0.94616499751438
3,0.29534149169921875,0.3059019148349762,0.9230769230769231,0.9094028826355525,0.9215679874323925,0.9418539803900313
4,0.29534149169921875,0.30292099714279175,0.9230769230769231,0.9039121482498285,0.9215679874323925,0.9483071034430373
