epoch,Loss ( Val ),Loss ( Train ),Accuracy ( Val ),Accuracy ( Train ),ROC ( Val ),ROC ( Train )
2,2.4429640769958496,2.569524049758911,0.7912087912087912,0.7934111187371311,0.936784797795821,0.8666639343891608
4,2.433739185333252,1.9762121438980103,0.7912087912087912,0.820178448867536,0.8852398418656129,0.8809745303976821
6,4.164064884185791,2.8491921424865723,0.6538461538461539,0.7563486616334935,0.8253509170732185,0.835752249926942
8,0.6554075479507446,1.1731868982315063,0.9368131868131868,0.8922443376801648,0.9311113578303468,0.9068982137170475
10,0.9640617966651917,1.080335259437561,0.9093406593406593,0.9011667810569663,0.9154235879917421,0.9072025196698723
12,0.8239150643348694,1.5172972679138184,0.9148351648351648,0.8647906657515443,0.8853270631329625,0.9089301948038787
14,1.4811292886734009,0.9807327389717102,0.8983516483516484,0.9039121482498285,0.9101557693864619,0.9162598222875429
16,0.7341634035110474,0.829849123954773,0.9285714285714286,0.9196980096087852,0.8927943921083118,0.9250803818215618
18,0.8135733008384705,0.8579975962638855,0.9395604395604396,0.9135209334248455,0.9333401740438049,0.9298003423641166
20,1.209824562072754,0.8279184103012085,0.9038461538461539,0.9183253260123542,0.9399297399719811,0.9236699009918501
22,0.6109726428985596,0.7097610235214233,0.9560439560439561,0.9313658201784488,0.950755454695638,0.9387185220281523
24,0.693301796913147,0.5390927195549011,0.9423076923076923,0.9478380233356212,0.9582329649518745,0.9659508514474993
26,0.7751665115356445,0.45897039771080017,0.9230769230769231,0.9581331503088538,0.9358737465849576,0.9690821550482807
28,0.5596243739128113,0.4679674804210663,0.9505494505494505,0.9560741249142073,0.9543384364456815,0.9811435860410791
30,0.7406728267669678,0.2861734628677368,0.9395604395604396,0.9698009608785175,0.9629304367006547,0.9914688794795707
32,0.5874220728874207,0.23555061221122742,0.9505494505494505,0.9787234042553191,0.9646887186866816,0.9892918280776005
34,0.7445996403694153,0.23074842989444733,0.9505494505494505,0.9787234042553191,0.9608864105933446,0.9953571795611615
36,0.5996238589286804,0.14364944398403168,0.9560439560439561,0.9862731640356898,0.9697767980696069,0.9964966274025469
38,0.5276080369949341,0.14053815603256226,0.9615384615384616,0.9883321894303363,0.9675288115101681,0.9976833441039995
40,0.5987410545349121,0.05217450112104416,0.9532967032967034,0.9951956074124915,0.9719705297834582,0.9987061877596087
42,0.5840954780578613,0.03208210691809654,0.9642857142857143,0.997254632807138,0.9754657745225992,0.9993404318883226
44,0.5660033226013184,0.03235841542482376,0.9615384615384616,0.9965682910089224,0.9768117310056998,0.999713983026702
46,0.5711755156517029,0.02811274491250515,0.9615384615384616,0.9965682910089224,0.9764269270309568,0.9997230904448926
48,0.5438458919525146,0.038106080144643784,0.9587912087912088,0.997254632807138,0.9771217331749662,0.9996078606843483
50,0.5399211645126343,0.0604562871158123,0.9587912087912088,0.9938229238160604,0.9776056699718381,0.9985917898948093
