epoch,Loss ( Val ),Loss ( Train ),Accuracy ( Val ),Accuracy ( Train ),ROC ( Val ),ROC ( Train )
0,-0.27644914388656616,-0.4123747944831848,0.2774725274725275,0.41935483870967744,0.5705338044057913,0.5948588865521145
5,-0.3493327796459198,-0.39128944277763367,0.3489010989010989,0.39052848318462596,0.5323368547538857,0.5630078515614724
10,-0.459847629070282,-0.4375145435333252,0.46153846153846156,0.4378860672614962,0.6310800250694424,0.596374355053124
15,-0.582406222820282,-0.5018712878227234,0.5824175824175825,0.5024021962937543,0.6954360119212609,0.6377456451295843
20,-0.5708617568016052,-0.546099066734314,0.5714285714285714,0.547700754975978,0.7057621482586615,0.6836351661834765
25,-0.6027997136116028,-0.5674212574958801,0.6016483516483516,0.5669183253260124,0.7318578321562507,0.7015250517337364
30,-0.6288427710533142,-0.6315417885780334,0.6291208791208791,0.6314344543582704,0.7474493045097691,0.7321403432729536
35,-0.6205428838729858,-0.6315466165542603,0.6181318681318682,0.6300617707618394,0.7475420160656862,0.7336213926057181
40,-0.659325122833252,-0.6632409691810608,0.6620879120879121,0.6636925188743995,0.7789196834534708,0.7383689610788849
45,-0.6819438934326172,-0.6675613522529602,0.6868131868131868,0.667124227865477,0.7903536133499938,0.7602384285845656
50,-0.6891668438911438,-0.6772671937942505,0.6923076923076923,0.6787920384351407,0.7882196463602347,0.7741666552599672
55,-0.6825140118598938,-0.6847928762435913,0.6813186813186813,0.6822237474262183,0.7971522468108505,0.784736578745425
60,-0.6892830729484558,-0.6814277172088623,0.6895604395604396,0.6808510638297872,0.7950173859478076,0.7733712735601351
65,-0.6928493976593018,-0.6957637667655945,0.695054945054945,0.6959505833905285,0.7947091766176186,0.7829010060059126
70,-0.690777063369751,-0.6770246624946594,0.6895604395604396,0.6774193548387096,0.7968647200656197,0.7802513055965397
75,-0.6917577981948853,-0.7007286548614502,0.695054945054945,0.7000686341798216,0.797680706542996,0.7859616906600752
80,-0.6894116401672363,-0.6818476915359497,0.6895604395604396,0.6835964310226493,0.7972615306427207,0.7857293602452871
85,-0.6891834139823914,-0.6716315150260925,0.6868131868131868,0.6719286204529856,0.7983189559352377,0.7768027356109661
90,-0.6897091865539551,-0.6939768195152283,0.6868131868131868,0.693891557995882,0.7988237485942459,0.7826488201223102
95,-0.6906576156616211,-0.6963167786598206,0.6895604395604396,0.696636925188744,0.7981164648557856,0.7931702724267929
100,-0.6915308237075806,-0.681962788105011,0.6895604395604396,0.6822237474262183,0.7987487831239073,0.7685704025498634
105,-0.6914611458778381,-0.6973173022270203,0.6895604395604396,0.6986959505833905,0.7980576718996284,0.780934744832244
110,-0.6918329000473022,-0.6938157677650452,0.6895604395604396,0.6932052161976664,0.798589338708951,0.7849870827380433
115,-0.6904236674308777,-0.6909971833229065,0.6868131868131868,0.6925188743994509,0.7981153616694876,0.7775343596324537
120,-0.6900789737701416,-0.6920757293701172,0.6868131868131868,0.6925188743994509,0.7984338825295727,0.7659887957349646
125,-0.6897885799407959,-0.6958873867988586,0.6868131868131868,0.6959505833905285,0.7984952969494004,0.7881162420207676
130,-0.6899955868721008,-0.6907999515533447,0.6868131868131868,0.6911461908030199,0.7987372333375211,0.7819974297508709
135,-0.6901924014091492,-0.696941614151001,0.6868131868131868,0.696636925188744,0.7978015091296508,0.7946550063916611
140,-0.6900042295455933,-0.7064188718795776,0.6868131868131868,0.7041866849691146,0.7985198847428346,0.7876996548602506
145,-0.6898372769355774,-0.6954533457756042,0.6868131868131868,0.6945778997940975,0.7988225628205758,0.7923032258619864
150,-0.6907185316085815,-0.6901538372039795,0.6895604395604396,0.6884008236101579,0.7981848710839916,0.7827232491477027
155,-0.6895723342895508,-0.6943327784538269,0.6868131868131868,0.6932052161976664,0.7981954174376049,0.7847649529531121
