epoch,Loss ( Val ),Loss ( Train ),Accuracy ( Val ),Accuracy ( Train ),ROC ( Val ),ROC ( Train )
5,1.3561888933181763,1.3072705268859863,0.3626373626373626,0.332875772134523,0.591595491918272,0.4970965935484596
10,2.237678289413452,1.3067693710327148,0.1401098901098901,0.3644474948524365,0.5658307077753593,0.5440321963822888
15,1.2894700765609741,1.3153579235076904,0.33791208791208793,0.3369938229238161,0.5668621019285331,0.5144929512448798
20,1.312160611152649,1.281617522239685,0.3873626373626374,0.366506520247083,0.6187905409651657,0.5693454872689403
25,1.2857365608215332,1.2776577472686768,0.3434065934065934,0.37062457103637614,0.650248042954967,0.5599549606718552
30,1.1424188613891602,1.2558996677398682,0.5137362637362637,0.39670555936856555,0.6408316796293935,0.557298296275311
35,0.840666651725769,0.9707737565040588,0.5796703296703297,0.573095401509952,0.797356278577579,0.7140907947591872
40,0.9482044577598572,0.8122420310974121,0.5604395604395604,0.6177076183939602,0.7796321878897552,0.7589280388545697
45,0.8652850985527039,0.7716124057769775,0.6538461538461539,0.6355525051475635,0.7524683563383816,0.7834785222624093
50,0.7952314019203186,0.7550555467605591,0.5851648351648352,0.6520247083047358,0.7986647838980308,0.7904155564059913
55,0.6079698204994202,0.7243517637252808,0.7417582417582418,0.6890871654083733,0.8657489078126348,0.8156094882859979
60,0.4586855173110962,0.6858614087104797,0.8406593406593407,0.7487989018531228,0.9149496338019223,0.8371937332852165
65,0.4604245722293854,0.5454016327857971,0.8269230769230769,0.8304735758407688,0.9171514575970002,0.8740795792152615
70,0.3634379804134369,0.49809449911117554,0.8983516483516484,0.8339052848318462,0.923230028877786,0.8960231491526882
75,0.4073863625526428,0.4954594671726227,0.8956043956043956,0.8490048043925875,0.8978657099731551,0.877572263004277
80,0.6051204800605774,0.5105130076408386,0.8351648351648352,0.8428277282086479,0.8632990334571422,0.8773021688816206
85,0.4459245204925537,0.4718858301639557,0.8708791208791209,0.8620452985586822,0.9043262208717924,0.8937663544868504
90,0.5691883563995361,0.5002520084381104,0.7884615384615384,0.8270418668496912,0.9199369482295273,0.9022383074050977
95,0.33710986375808716,0.48273810744285583,0.8928571428571429,0.8517501715854495,0.9357418855633032,0.9014837546143217
100,0.3317030966281891,0.3987590968608856,0.9203296703296703,0.8771448181194235,0.9277794877083607,0.9312480563430094
