epoch,Loss ( Val ),Loss ( Train ),Accuracy ( Val ),Accuracy ( Train ),ROC ( Val ),ROC ( Train )
0,1.184067964553833,1.1705212593078613,0.5631868131868132,0.5010295126973233,0.7214034961156206,0.6801232010400826
1,1.154979944229126,0.9192666411399841,0.5631868131868132,0.6863417982155113,0.7507164433114448,0.8325783410108307
2,1.0850950479507446,0.8442996144294739,0.6071428571428571,0.7048730267673301,0.7708148674648116,0.856986611930312
3,1.0578956604003906,0.8022941946983337,0.5851648351648352,0.7165408373369938,0.7779906565098635,0.884731336057587
4,1.0090819597244263,0.7755203247070312,0.6126373626373627,0.728894989704873,0.7864996490594486,0.8915791229312211
5,0.9526877999305725,0.7523220181465149,0.6593406593406593,0.7309540150995195,0.8004067813132482,0.8925336068922303
6,0.9125481247901917,0.7174558043479919,0.6510989010989011,0.7549759780370625,0.811970611937347,0.9082638068948868
7,0.8656905293464661,0.7067762017250061,0.6648351648351648,0.7405628002745367,0.8209509522047407,0.9054526381150219
8,0.8401901721954346,0.7039328813552856,0.6785714285714286,0.7549759780370625,0.82931943337465,0.9067175251899832
9,0.8106249570846558,0.6842731237411499,0.6868131868131868,0.759780370624571,0.8338955348723464,0.9174740938984826
10,0.7808478474617004,0.6784147620201111,0.6978021978021978,0.7508579272477693,0.8412624112505804,0.9176585588806249
11,0.7574246525764465,0.6609094738960266,0.7005494505494505,0.7735072065888813,0.8476172344144066,0.9187366699785016
12,0.7438496947288513,0.6774553656578064,0.7060439560439561,0.7508579272477693,0.8529608285919889,0.9061403156782983
13,0.7306864857673645,0.6555785536766052,0.7087912087912088,0.7549759780370625,0.8562723861417859,0.919705351065403
14,0.7195115685462952,0.6372818350791931,0.717032967032967,0.7707618393960192,0.8615146818152639,0.9302913975153753
15,0.7138760089874268,0.6404719352722168,0.7335164835164835,0.7680164722031572,0.8630791234876889,0.9243677794025144
16,0.7135806083679199,0.6256147623062134,0.7307692307692307,0.7858613589567605,0.8637395817329914,0.9266260797704376
17,0.7138606309890747,0.6330179572105408,0.7445054945054945,0.7721345229924502,0.8644595349138705,0.9246540842632021
