epoch,Loss ( Val ),Loss ( Train ),Accuracy ( Val ),Accuracy ( Train ),ROC ( Val ),ROC ( Train )
5,0.2172592729330063,0.291695237159729,0.8983516483516484,0.818805765271105,0.8618519306163944,0.8219272776619514
10,0.17689235508441925,0.14219534397125244,0.9120879120879121,0.9039121482498285,0.8505519039134315,0.8509473230195068
15,0.8802505731582642,0.19216756522655487,0.7335164835164835,0.880576527110501,0.7634325375925883,0.8505587378735687
20,0.2491404414176941,0.12108390033245087,0.8818681318681318,0.9169526424159231,0.8580269849017972,0.8699594105619642
