epoch,Loss ( Val ),Loss ( Train ),Accuracy ( Val ),Accuracy ( Train ),ROC ( Val ),ROC ( Train )
5,0.2740924060344696,0.21996094286441803,0.8461538461538461,0.883321894303363,0.9351868240769298,0.9286381474364197
10,1.1687979698181152,0.2273099571466446,0.5247252747252747,0.8949897048730268,0.8669004286035974,0.9169589508776183
15,0.31140151619911194,0.14417481422424316,0.8571428571428571,0.9334248455730954,0.9436926598777766,0.946724781642858
20,0.20550033450126648,0.12060357630252838,0.9203296703296703,0.940974605353466,0.9489617715301709,0.9661543627281329
25,0.21235676109790802,0.11656682938337326,0.9285714285714286,0.939601921757035,0.9546403595599045,0.9721320380225936
30,0.09097573906183243,0.07927461713552475,0.9560439560439561,0.9608785175017158,0.9801616802429801,0.9792447042863295
35,0.21586847305297852,0.07979851216077805,0.9340659340659341,0.9656829100892245,0.9624311221291711,0.9821375418696755
40,0.17038972675800323,0.07480119913816452,0.9478021978021978,0.9595058339052849,0.9694595217039498,0.9838019374051197
45,0.6057755351066589,0.08994794636964798,0.8104395604395604,0.9601921757035004,0.9382361187955047,0.989306534243133
50,0.1986025720834732,0.0607324056327343,0.9230769230769231,0.9725463280713795,0.9659956438267748,0.9891260201311499
55,0.23055621981620789,0.041140131652355194,0.945054945054945,0.9828414550446122,0.9719546316207461,0.9954816629844996
60,0.7154099941253662,0.055167172104120255,0.8516483516483516,0.9711736444749485,0.9563037419504081,0.9936470674093689
65,0.2617487609386444,0.04109678044915199,0.9258241758241759,0.9759780370624571,0.9598368576306402,0.996363996303592
70,0.15180517733097076,0.05535009875893593,0.9423076923076923,0.9739190116678106,0.9779402794638602,0.9934761940140029
75,0.42043912410736084,0.08071212470531464,0.9038461538461539,0.9643102264927934,0.9735704943419154,0.9937897672876614
80,0.21539553999900818,0.02958673983812332,0.9532967032967034,0.9862731640356898,0.9811675084695457,0.9974775175760386
85,0.26128074526786804,0.01782166212797165,0.9423076923076923,0.9883321894303363,0.9657977768160805,0.9989422956639331
90,0.2809297740459442,0.037309788167476654,0.9340659340659341,0.9746053534660261,0.9739339124421028,0.9982007306922503
95,0.23641236126422882,0.03175978735089302,0.9532967032967034,0.9828414550446122,0.9774446731445767,0.9974853201446207
100,0.21051427721977234,0.023315586149692535,0.967032967032967,0.9855868222374743,0.9753008854322738,0.9986854232808736
