Iteration,Score
-1,0.6975779724352337
0,0.701602090918752
1,0.6799502344289654
2,0.6765575459352766
3,0.6625320144027866
4,0.702350244915762
5,0.6560444282697842
6,0.7217536819084143
7,0.7629872392166211
8,0.70170614127267
9,0.6366399820796752
