epoch,Loss ( Val ),Loss ( Train ),Accuracy ( Val ),Accuracy ( Train ),Kaggle Metric ( Val ),Kaggle Metric ( Train )
3,0.3166628550369661,0.3637905893623624,0.9120879120879121,0.8881262868908717,0.9508196978883834,0.9301975144953583
6,0.866381096970904,0.37518586237788937,0.782967032967033,0.8970487302676733,0.8788352763202352,0.9441480659973596
9,0.3674038303094906,0.2513680349659576,0.8956043956043956,0.9334248455730954,0.9546969457214595,0.9584187086286111
12,0.1617958712708819,0.1915841484282552,0.9505494505494505,0.9402882635552505,0.9814255723656468,0.9777009919666609
15,0.12559080369524903,0.16121609393422867,0.9587912087912088,0.9492107069320521,0.9940076122717398,0.978824129631157
18,0.10668745735189417,0.05946533358416168,0.9752747252747253,0.9787234042553191,0.9908602229261377,0.9971939763809672
21,0.09964590347730197,0.05670744372952369,0.9752747252747253,0.9814687714481812,0.9917172838314132,0.9955094953994013
24,0.07685660071425386,0.02325809775105714,0.9807692307692307,0.9931365820178449,0.9936437641292969,0.9996683169101569
27,0.07553498823564131,0.022637554448847092,0.9697802197802198,0.9931365820178449,0.9940229388994236,0.9995209697880059
30,0.07854847135124626,0.009051451637226175,0.9807692307692307,0.997254632807138,0.9931409830344129,0.9999823012990379
